Gene,NAIP2C1,NAIP2,NEUROG2,NA,CTL,PSC
HSPA8,54515.72116,74996.1789,41480.37041,51521.16769,55403.49951,131400.5976
NES,53998.00695,134998.3648,66342.0737,65660.50586,81656.80666,11293.3177
P2RX3,53315.49599,4788.737221,23916.76532,31498.07896,16.453471,39.69059893
CALM3,52466.95181,24047.88317,36836.97651,44240.73646,17800.00716,10131.29965
NREP,51440.36456,11693.10883,38998.21231,48804.8969,6761.041187,9650.368723
CCNI,50993.11471,23178.11615,34038.02534,41999.878,21651.73743,20312.30812
VAT1,50655.80443,24381.98712,32958.53001,41114.82736,19048.75207,11167.51538
NCAM1,50385.52418,7848.991207,32399.68475,48084.14177,1092.729887,286.8710692
ANK2,50295.72475,8610.157934,25197.6403,46457.46463,5019.663953,2819.35672
NDRG4,49998.06119,7095.05364,27873.79599,39540.76517,1635.362686,1037.439424
TUBA1B,49809.52705,87248.88003,48450.51783,42971.03559,64674.09104,51807.18425
CHD4,49304.70251,29443.11405,35303.92425,42516.36804,31083.0891,23540.22594
CASP3,49253.2655,9674.777287,19998.94698,22265.4418,2487.370697,4411.685318
APP,48940.30886,37415.75801,34037.97262,53659.97082,36796.3035,16170.65255
CSDE1,48151.40262,39300.94414,37713.85983,43909.74777,34008.32308,36023.41321
ALCAM,47829.19286,10031.78458,7917.65978,18945.32959,4682.462371,2592.456699
UCHL1,46909.65548,23745.32564,31577.54158,44718.2444,11642.93774,16707.32801
USP22,46480.00638,24201.51877,32313.16057,38678.56325,21204.22172,18592.8618
MATR3,46470.78958,32962.02319,43667.02182,46421.89121,25908.66856,47195.50724
GNB1,46465.0264,35573.0891,37937.47237,46027.53142,30491.42538,12119.23227
YBX1,45545.48244,72136.79207,44031.50703,37926.9819,61048.99692,52817.80695
RPL15,45504.78418,50213.59695,40883.83575,30029.29114,53629.42711,47673.48017
PLD3,44797.90901,21898.34073,26727.36518,35224.51678,14397.13395,8248.185937
ATP5F1B,44579.57511,31892.69167,32655.3314,35841.27051,26747.88194,40603.79197
SERINC1,44224.04884,11034.67985,27172.62483,41210.30499,5677.108355,2479.067755
HSP90AB1,43937.15748,85105.54486,50205.40867,46600.43355,83114.9119,177931.8653
HMGCS1,43703.77339,33162.65251,33448.26484,34409.61278,33261.14424,19182.39792
DDX5,42800.11226,23069.9427,40734.7903,39755.70021,22211.35768,26649.45316
SOX4,42632.76208,13803.82189,26033.75693,31728.27493,6922.140537,15877.92735
GDI1,42336.21942,15956.66514,35810.34097,42976.05533,11859.8095,3907.410521
ONECUT2,42247.21581,5199.04735,39707.20664,55074.8649,43.26739733,185.0628023
PEG10,42198.47933,26649.96141,34093.67679,58035.15486,21458.16118,9183.362644
SPTAN1,42008.80628,28133.65345,29931.63021,47408.46614,25195.60213,13410.18275
BASP1,41690.86636,19822.95272,36855.11774,41271.85004,13403.68834,3122.140347
MARCKS,41406.17646,21295.66918,40250.53999,38845.97967,16582.0519,15829.79838
UBC,40958.66687,33942.59161,34648.79843,36304.00111,28073.44687,12264.51769
RPL3,40545.20875,72391.28036,43433.79284,26493.5582,89448.96244,96988.55202
SNCG,40291.2927,5681.236303,19152.40621,24115.11018,76.0624624,226.5991798
YWHAQ,39984.05307,27143.71863,29326.67634,35807.77992,17772.31833,22288.4766
RTN1,39590.7292,5202.320856,25566.13202,37408.11181,369.6805562,167.7393756
DBN1,39561.81506,30935.54645,37336.76249,35495.41724,27688.39554,16170.4829
KLC1,39055.84864,11367.84344,33447.91517,38771.64269,6366.699048,4770.61367
SYT11,38883.00519,13483.17417,31624.4414,44197.86123,8281.500993,1521.568429
