"","Gene","logFC","FDR","fdr","logfc","labels","sig"
"21904","BZW2",0.058844081,0.655076075,0.655076075,0.058844081,"BZW2","Not Sig"
"21905","LOC105375839",0.339685062,0.655076075,0.655076075,0.339685062,"LOC105375839","Not Sig"
"21906","GPD1",-0.32694987,0.655120406,0.655120406,-0.32694987,"GPD1","Not Sig"
"21907","LINC00638",-0.304319182,0.655120406,0.655120406,-0.304319182,"LINC00638","Not Sig"
"21908","LOC101927098",0.57739325,0.655139522,0.655139522,0.57739325,"LOC101927098","Not Sig"
"21909","RSBN1L",0.068118487,0.655370111,0.655370111,0.068118487,"RSBN1L","Not Sig"
"21910","MPV17L_1",-0.49645929,0.655438362,0.655438362,-0.49645929,"MPV17L_1","Not Sig"
"21911","LOC100996294",-0.36347786,0.655438362,0.655438362,-0.36347786,"LOC100996294","Not Sig"
"21912","FZD3",0.140712327,0.655438362,0.655438362,0.140712327,"FZD3","Not Sig"
"21913","TRIM55",0.546992874,0.655512544,0.655512544,0.546992874,"TRIM55","Not Sig"
"21914","LOC105376418",0.718367988,0.655643504,0.655643504,0.718367988,"LOC105376418","Not Sig"
"21915","LOC105374879",-0.794371109,0.655691395,0.655691395,-0.794371109,"LOC105374879","Not Sig"
"21916","SPON2",-0.249147495,0.6556945,0.6556945,-0.249147495,"SPON2","Not Sig"
"21917","LOC107984000",-0.69366456,0.655771429,0.655771429,-0.69366456,"LOC107984000","Not Sig"
"21918","LOC105377714",-0.758206198,0.656346705,0.656346705,-0.758206198,"LOC105377714","Not Sig"
"21919","LINC00933",0.634371694,0.656346705,0.656346705,0.634371694,"LINC00933","Not Sig"
"21920","ELF2",-0.066720563,0.65636898,0.65636898,-0.066720563,"ELF2","Not Sig"
"21921","MORC2-AS1",-0.332993484,0.656970899,0.656970899,-0.332993484,"MORC2-AS1","Not Sig"
"21922","EHMT2_4",0.558887776,0.657026648,0.657026648,0.558887776,"EHMT2_4","Not Sig"
"21923","ADCK5_1",0.576018441,0.657039975,0.657039975,0.576018441,"ADCK5_1","Not Sig"
"21924","UNKL",-0.069244861,0.657053632,0.657053632,-0.069244861,"UNKL","Not Sig"
"21925","NAA10",0.13187787,0.657244063,0.657244063,0.13187787,"NAA10","Not Sig"
"21926","LOC105377567",0.41182188,0.657640872,0.657640872,0.41182188,"LOC105377567","Not Sig"
