"","Gene","log2FC","p.value","fdr","logfc","labels","sig"
"8869","PMM2",-0.884967094,0.00018664,0.00018664,-0.884967094,"PMM2","Down"
"8870","DENND6A",-0.523562695,0.00018664,0.00018664,-0.523562695,"DENND6A","Not Sig"
"8871","CCR7",-2.696429686,0.000187196,0.000187196,-2.696429686,"CCR7","Down"
"8872","ZNF792",0.68535129,0.000187293,0.000187293,0.68535129,"ZNF792","Up"
"8873","ZNF561-AS1",0.695658479,0.000187453,0.000187453,0.695658479,"ZNF561-AS1","Up"
"8874","MEX3B",0.930354591,0.000187475,0.000187475,0.930354591,"MEX3B","Up"
"8875","NFRKB",-0.439193039,0.00018809,0.00018809,-0.439193039,"NFRKB","Not Sig"
"8876","TEDC2-AS1",2.707354575,0.000188989,0.000188989,2.707354575,"TEDC2-AS1","Up"
"8877","CFHR4",3.56483881,0.000189105,0.000189105,3.56483881,"CFHR4","Up"
"8878","LOC112268106",2.059812912,0.000189173,0.000189173,2.059812912,"LOC112268106","Up"
"8879","RABL2B",-0.84912734,0.000189241,0.000189241,-0.84912734,"RABL2B","Down"
"8880","MPP1",1.187903179,0.000189404,0.000189404,1.187903179,"MPP1","Up"
"8881","SHISAL1",-1.048428114,0.00019001,0.00019001,-1.048428114,"SHISAL1","Down"
"8882","SLC38A6",-0.800236487,0.000190636,0.000190636,-0.800236487,"SLC38A6","Down"
"8883","MTTP",1.52200048,0.000190671,0.000190671,1.52200048,"MTTP","Up"
"8884","PCYT1A",-0.685147223,0.000190735,0.000190735,-0.685147223,"PCYT1A","Down"
"8885","GATA6-AS1",-4.30646381,0.000190742,0.000190742,-4.30646381,"GATA6-AS1","Down"
"8886","CC2D2B",-0.942390184,0.000190762,0.000190762,-0.942390184,"CC2D2B","Down"
"8887","UPF1",-0.563629864,0.000190975,0.000190975,-0.563629864,"UPF1","Not Sig"
"8888","JAGN1",-0.531720841,0.000190975,0.000190975,-0.531720841,"JAGN1","Not Sig"
"8889","RARA-AS1",1.69367822,0.000191309,0.000191309,1.69367822,"RARA-AS1","Up"
"8890","TEP1",-0.968831818,0.000191414,0.000191414,-0.968831818,"TEP1","Down"
"8891","EPHX3",-1.407945529,0.000191843,0.000191843,-1.407945529,"EPHX3","Down"
"8892","CHERP",-0.633112313,0.000191867,0.000191867,-0.633112313,"CHERP","Down"
"8893","ZNF322",0.679082594,0.000191922,0.000191922,0.679082594,"ZNF322","Up"
"8894","PHOX2B-AS1",3.930393622,0.000191922,0.000191922,3.930393622,"PHOX2B-AS1","Up"
"8895","AMH",2.412823486,0.000192183,0.000192183,2.412823486,"AMH","Up"
"8896","SF3B2",-0.366088714,0.000192453,0.000192453,-0.366088714,"SF3B2","Not Sig"
"8897","RAB41",1.165861029,0.000192494,0.000192494,1.165861029,"RAB41","Up"
"8898","LINC01625",2.86106282,0.000193242,0.000193242,2.86106282,"LINC01625","Up"
"8899","PCNX4",0.516688244,0.000193538,0.000193538,0.516688244,"PCNX4","Not Sig"
"8900","UBE2V1",-0.968667483,0.000194041,0.000194041,-0.968667483,"UBE2V1","Down"
"8901","EDNRB",-2.520373045,0.000194602,0.000194602,-2.520373045,"EDNRB","Down"
"8902","TECR",-0.693932658,0.000194956,0.000194956,-0.693932658,"TECR","Down"
"8903","LOC105374492",3.78296905,0.000195384,0.000195384,3.78296905,"LOC105374492","Up"
"8904","LOC107986909",-1.735104813,0.000196069,0.000196069,-1.735104813,"LOC107986909","Down"
"8905","CAPS2",-1.781566409,0.000196258,0.000196258,-1.781566409,"CAPS2","Down"
"8906","TACR2",2.267521453,0.00019677,0.00019677,2.267521453,"TACR2","Up"
"8907","ZNF695",-0.997651558,0.000197,0.000197,-0.997651558,"ZNF695","Down"
"8908","WAC-AS1",0.569077687,0.000197063,0.000197063,0.569077687,"WAC-AS1","Not Sig"
"8909","KLHL28",0.881671614,0.000197063,0.000197063,0.881671614,"KLHL28","Up"
"8910","POLR3E",-3.213487087,0.000197288,0.000197288,-3.213487087,"POLR3E","Down"
"8911","LOC105373230",1.959847596,0.000197532,0.000197532,1.959847596,"LOC105373230","Up"
"8912","MEX3A",0.695067108,0.000197672,0.000197672,0.695067108,"MEX3A","Up"
"8913","CCZ1P-OR7E38P",-1.818275712,0.000197723,0.000197723,-1.818275712,"CCZ1P-OR7E38P","Down"
"8914","ATP5F1C",0.664733607,0.000197764,0.000197764,0.664733607,"ATP5F1C","Up"
"8915","CIB2",0.543623488,0.000198037,0.000198037,0.543623488,"CIB2","Not Sig"
"8916","DNAJC5",0.891316287,0.000198879,0.000198879,0.891316287,"DNAJC5","Up"
"8917","CCDC157",0.657185368,0.000200326,0.000200326,0.657185368,"CCDC157","Up"
"8918","ZNF587B",-0.995088683,0.000200661,0.000200661,-0.995088683,"ZNF587B","Down"
"8919","LOC100996598",3.302751156,0.000200716,0.000200716,3.302751156,"LOC100996598","Up"
"8920","CFAP91",-1.142230519,0.000200884,0.000200884,-1.142230519,"CFAP91","Down"
"8921","PTPRD-AS1",1.208297086,0.000201055,0.000201055,1.208297086,"PTPRD-AS1","Up"
"8922","REXO4_1",-3.371212674,0.000201609,0.000201609,-3.371212674,"REXO4_1","Down"
"8923","LOC101927636",-4.269655021,0.000201623,0.000201623,-4.269655021,"LOC101927636","Down"
"8924","NAA35",0.455871785,0.000202242,0.000202242,0.455871785,"NAA35","Not Sig"
"8925","ZNF653",0.562293601,0.000202906,0.000202906,0.562293601,"ZNF653","Not Sig"
"8926","NFKBIE",-0.773226558,0.000203357,0.000203357,-0.773226558,"NFKBIE","Down"
"8927","ROCK2",-0.980548315,0.000203632,0.000203632,-0.980548315,"ROCK2","Down"
"8928","SDK2",-0.846335494,0.000203836,0.000203836,-0.846335494,"SDK2","Down"
"8929","NDUFB3",0.777376882,0.000204432,0.000204432,0.777376882,"NDUFB3","Up"
"8930","RNF19B",0.391028517,0.000204892,0.000204892,0.391028517,"RNF19B","Not Sig"
"8931","PTGDR2",1.539492187,0.000205254,0.000205254,1.539492187,"PTGDR2","Up"
"8932","ZMIZ1-AS1",3.121035481,0.000205339,0.000205339,3.121035481,"ZMIZ1-AS1","Up"
"8933","C2CD4C",1.432095147,0.000205445,0.000205445,1.432095147,"C2CD4C","Up"
"8934","SCARNA22",-2.447378385,0.000205787,0.000205787,-2.447378385,"SCARNA22","Down"
"8935","MYO1D",-0.777621709,0.000206261,0.000206261,-0.777621709,"MYO1D","Down"
"8936","PFKFB1",1.329384538,0.000206377,0.000206377,1.329384538,"PFKFB1","Up"
"8937","SNORD2",-1.406784826,0.000206806,0.000206806,-1.406784826,"SNORD2","Down"
"8938","LOC105372188",3.808613213,0.000206944,0.000206944,3.808613213,"LOC105372188","Up"
"8939","ZNF747",0.678351561,0.000206948,0.000206948,0.678351561,"ZNF747","Up"
"8940","PTPRK",-3.587254181,0.000207968,0.000207968,-3.587254181,"PTPRK","Down"
"8941","LTN1",0.46549021,0.00020805,0.00020805,0.46549021,"LTN1","Not Sig"
"8942","JMJD7",0.5920516,0.000208175,0.000208175,0.5920516,"JMJD7","Up"
"8943","AMFR",0.480784656,0.000208283,0.000208283,0.480784656,"AMFR","Not Sig"
"8944","STMND1",-3.854161113,0.000208368,0.000208368,-3.854161113,"STMND1","Down"
"8945","SESN1",-0.995817112,0.00020874,0.00020874,-0.995817112,"SESN1","Down"
"8946","PDE1B",1.249666654,0.000208894,0.000208894,1.249666654,"PDE1B","Up"
"8947","INHBA",-4.093398909,0.000209144,0.000209144,-4.093398909,"INHBA","Down"
"8948","SUGT1P3",2.451773201,0.000209323,0.000209323,2.451773201,"SUGT1P3","Up"
"8949","SNX8",-1.060686686,0.000209343,0.000209343,-1.060686686,"SNX8","Down"
"8950","PARP8",0.584219988,0.000209749,0.000209749,0.584219988,"PARP8","Up"
"8951","SLMAP",-0.521126131,0.000209939,0.000209939,-0.521126131,"SLMAP","Not Sig"
"8952","LOC105377378",-4.103352881,0.000209966,0.000209966,-4.103352881,"LOC105377378","Down"
"8953","LOC101928477",-4.995071036,0.000210103,0.000210103,-4.995071036,"LOC101928477","Down"
"8954","RDX",-0.587361952,0.000211212,0.000211212,-0.587361952,"RDX","Down"
"8955","PIK3R1",1.054900462,0.000212213,0.000212213,1.054900462,"PIK3R1","Up"
"8956","PNN",-0.849711042,0.000213488,0.000213488,-0.849711042,"PNN","Down"
"8957","LOC105372449",2.739686126,0.000213905,0.000213905,2.739686126,"LOC105372449","Up"
"8958","C1QL2",-2.793284325,0.000214507,0.000214507,-2.793284325,"C1QL2","Down"
"8959","LOC105379163",-3.92958878,0.000214683,0.000214683,-3.92958878,"LOC105379163","Down"
"8960","KIFC1_2",-4.188320369,0.000214965,0.000214965,-4.188320369,"KIFC1_2","Down"
"8961","DZANK1",0.551034091,0.000215037,0.000215037,0.551034091,"DZANK1","Not Sig"
"8962","R3HCC1L",0.61848552,0.00021518,0.00021518,0.61848552,"R3HCC1L","Up"
"8963","LOC107987007",1.215833561,0.000215318,0.000215318,1.215833561,"LOC107987007","Up"
"8964","SLC2A8",-0.455349555,0.000215393,0.000215393,-0.455349555,"SLC2A8","Not Sig"
"8965","NUFIP1",-0.486828907,0.000215477,0.000215477,-0.486828907,"NUFIP1","Not Sig"
"8966","TLR6",-4.615989937,0.000216183,0.000216183,-4.615989937,"TLR6","Down"
"8967","BCYRN1",-2.421473669,0.00021653,0.00021653,-2.421473669,"BCYRN1","Down"
"8968","DLAT",0.472513733,0.000217453,0.000217453,0.472513733,"DLAT","Not Sig"
"8969","LOC105379327",-1.542132369,0.00021803,0.00021803,-1.542132369,"LOC105379327","Down"
"8970","TUBB2A",1.473529471,0.000218516,0.000218516,1.473529471,"TUBB2A","Up"
"8971","ELP4",-1.001005764,0.000219307,0.000219307,-1.001005764,"ELP4","Down"
"8972","LOC105374216",2.773815891,0.000219531,0.000219531,2.773815891,"LOC105374216","Up"
"8973","SLC13A4",-2.462343633,0.000219729,0.000219729,-2.462343633,"SLC13A4","Down"
"8974","TBCCD1",0.547974324,0.000220106,0.000220106,0.547974324,"TBCCD1","Not Sig"
"8975","GIT1",0.555147987,0.000220141,0.000220141,0.555147987,"GIT1","Not Sig"
"8976","MYCT1",3.448727655,0.000220635,0.000220635,3.448727655,"MYCT1","Up"
"8977","APIP",-0.626475074,0.000220853,0.000220853,-0.626475074,"APIP","Down"
"8978","LOC105370960",-4.222085744,0.000221174,0.000221174,-4.222085744,"LOC105370960","Down"
